# Date: Wed Nov 8 14:21:51 2023
# Object: BWS0001-BW1-G03
# Illuminant: D65
# Sample integration time [ms]: 50
# White standard integration time [ms]: 50
# Sample: 04
# Curr: 700 (Watts: 0.0194186, MLuxes: 5.65894)
# LED: 1
#Time	Watts	Lux	L	a	b	dE76	dE2000	dL	da	db	dC	dh
1092.3	21.211	1.71702	54.7716	-7.77171	-39.3006	12.8744	3.79856	2.70142	-5.07892	11.5177	-10.828	-8.15276
1102.3	21.4052	1.73274	54.8633	-7.62458	-39.4775	12.6783	3.80357	2.79321	-4.93179	11.3408	-10.6826	-7.89818
1112.3	21.5993	1.74846	54.8614	-7.70179	-39.3292	12.8406	3.83728	2.79131	-5.009	11.4891	-10.8134	-8.04676
1122.35	21.7945	1.76425	54.7873	-7.84333	-39.1895	13.0055	3.83982	2.7172	-5.15054	11.6289	-10.923	-8.2844
1132.35	21.9886	1.77997	54.8442	-7.77547	-39.1421	13.0331	3.86489	2.77404	-5.08269	11.6762	-10.9827	-8.20221
1142.35	22.1828	1.79569	54.8482	-7.83037	-39.0487	13.1391	3.892	2.77808	-5.13758	11.7696	-11.0636	-8.30585
1152.35	22.377	1.81141	54.8918	-7.74002	-39.1108	13.0577	3.89123	2.82169	-5.04723	11.7075	-11.0203	-8.161
1162.35	22.5711	1.82712	54.904	-7.72798	-39.104	13.0617	3.89716	2.83383	-5.03519	11.7143	-11.0293	-8.14591
1172.39	22.7663	1.84292	54.9238	-7.76552	-39.0505	13.1285	3.92565	2.85372	-5.07273	11.7678	-11.0745	-8.21383
1182.39	22.9604	1.85864	54.9588	-7.81573	-38.9761	13.2222	3.96981	2.88872	-5.12295	11.8422	-11.1376	-8.30574
1192.39	23.1546	1.87436	54.9271	-7.90315	-38.9043	13.3137	3.97891	2.85697	-5.21036	11.914	-11.1907	-8.44983
1202.39	23.3488	1.89007	54.9567	-7.85869	-38.8707	13.3329	3.99103	2.88656	-5.16591	11.9477	-11.2325	-8.39655
