[HEADER]
Format	J&M ASCII Table
Comment	COA_01_P.00039_HAL03-noFilter_UVIR600um2-UV400um0.5_24mm
Date	25/09/2024 11:52:58
Order	Y (evenX)
TechType	UV
NumPoints	841
FirstX	304
LastX	1144
XType	nm
YType	Transmission
ZType	s
NumSubFile	61
Matrix	Z vs X
[LOGIN]
Name=JM
[INSTRUMENT]
Name=TIDAS S
Detector=MMS - ASPEN 97,5 kHz
Diodearray=256 Pixel
Serial#=39059
Calibrated=2016-03-14
Range=303.56-1144.49 [nm] (F0)

SWVersion=v3.22.6 (build 0)
[CONFIG]
ChannelName=Result
ChannelType=Normalized
[PARAMETER]
It=91.00
Aver=20
Norm=1
Range=304.0-1144.0 nm
Scan=Single
[TRIGGER]
Sweep=0
Scan=0
[DIO]
DigOut=0x0000
DigIn=0x0000
[DATA]
	00:00:00.000	00:00:23.207	00:00:46.417	00:01:09.608	00:01:32.798	00:01:55.993	00:02:19.191	00:02:42.381	00:03:05.571	00:03:28.765	00:03:51.951	00:04:15.148	00:04:38.334	00:05:01.528	00:05:24.711	00:05:47.897	00:06:11.086	00:06:34.278	00:06:57.466	00:07:20.658	00:07:43.845	00:08:07.038	00:08:30.230	00:08:53.418	00:09:16.613	00:09:39.800	00:10:02.989	00:10:26.180	00:10:49.375	00:11:12.569	00:11:35.762	00:11:58.958	00:12:22.149	00:12:45.341	00:13:08.536	00:13:31.727	00:13:54.919	00:14:18.110	00:14:41.308	00:15:04.501	00:15:27.692	00:15:50.883	00:16:14.079	00:16:37.274	00:17:00.470	00:17:23.667	00:17:46.860	00:18:10.053	00:18:33.244	00:18:56.439	00:19:19.629	00:19:42.820	00:20:06.009	00:20:29.211	00:20:52.392	00:21:15.577	00:21:38.765	00:22:01.956	00:22:25.139	00:22:48.327	00:23:11.521
324	98.664871	100	100.290131	97.186211	100.589516	98.365334	99.142136	100.071739	98.474495	98.215569	99.906418	100.864067	99.996872	100.689354	99.547531	99.850204	98.458916	99.089012	100.102997	100.399376	99.048553	98.81459	101.179161	98.527618	99.332359	100.074837	99.332359	100.333801	98.565041	98.66172	99.837746	99.996872	100.040459	100.340096	99.113983	99.454071	99.990585	99.762901	99.195137	100.224556	99.868912	100.27758	99.56636	100.346252	99.663071	99.163971	98.905006	98.409073	98.21566	100.074837	98.705338	100.280678	99.766037	98.1064	100.243256	99.993744	99.450943	99.52578	98.452774	100.265137	99.728615
325	98.700241	100	100.288773	97.636436	101.052986	98.839203	99.46666	100.333656	99.268387	99.360298	99.761162	101.151421	100.142586	101.00666	100.802635	100.521088	99.078018	100.084007	99.811096	99.814713	99.227821	99.082359	101.202797	98.651039	99.801727	100.191048	99.801727	100.099136	98.746559	98.842796	100.188171	100.142586	100.856163	99.813972	99.846611	99.660583	100.42775	99.997093	99.752525	100.573174	100.568878	100.85907	99.947182	100.43206	100.043442	99.371841	99.463753	98.649574	98.457085	100.191048	99.556396	100.716484	99.854538	98.931114	100.620964	100.285164	99.803169	99.99424	98.459969	100.526138	99.759018
326	98.735306	100	100.287437	98.082489	101.512192	99.308685	99.788177	100.59317	100.054909	100.494469	99.617287	101.436142	100.286934	101.321068	102.04612	101.185814	99.691429	101.069771	99.521965	99.235497	99.405457	99.347679	101.22625	98.773346	100.266731	100.306198	100.266731	99.866676	98.92643	99.02224	100.535393	100.286934	101.664337	99.29277	100.572441	99.865219	100.860832	100.229172	100.304771	100.918617	101.262352	101.435181	100.324509	100.517097	100.420319	99.577805	100.017334	98.887894	98.696304	100.306198	100.399612	101.148247	99.942253	99.748238	100.995163	100.573898	100.152145	100.458359	98.46714	100.784767	99.789169
327	98.877869	99.980614	100.072647	98.341827	101.62587	99.812721	99.912788	100.519882	100.610329	101.034943	99.475258	101.493492	100.255074	101.252892	102.576866	101.299728	100.027443	101.646896	99.245979	98.837494	99.543053	99.455872	101.189949	98.81813	100.474678	100.245392	100.368103	99.723907	99.047386	99.191086	100.674889	100.23571	101.958481	98.9618	100.999413	99.893425	100.949356	100.255074	100.550583	100.968742	101.462814	101.654922	100.56189	100.77504	100.62809	99.627014	100.419792	99.202393	98.750313	100.255074	100.700714	101.380478	99.932175	100.314865	101.083374	100.616776	100.381042	100.684608	98.50489	100.875107	99.867638
328	99.229851	99.923553	99.44268	98.240196	101.069763	100.386345	99.656006	99.800667	100.720047	100.426186	99.336258	101.110054	99.88121	100.442192	101.727318	100.345612	99.826981	101.433922	98.994347	98.789268	99.603821	99.259819	101.037743	98.71283	100.184944	99.842987	99.764496	99.754654	99.054749	99.340393	100.412224	99.804764	101.256775	98.998436	100.848679	99.579552	100.369873	99.88121	100.203026	100.44632	100.707695	101.184425	100.528931	101.36982	100.508797	99.372437	100.530983	99.666298	98.445274	99.88121	99.951485	101.226768	99.732445	100.398254	100.617287	100.182892	100.378098	100.450447	98.602257	100.639473	100.040306
329	99.576424	99.867378	98.822395	98.140129	100.522194	100.951149	99.403122	99.092445	100.828087	99.826729	99.199425	100.732468	99.513046	99.643898	100.8908	99.406128	99.629578	101.224182	98.746536	98.74176	99.66362	99.066772	100.887825	98.609131	99.899605	99.446747	99.170143	99.784935	99.061989	99.487373	100.153557	99.380424	100.565788	99.034515	100.700211	99.270508	99.799248	99.513046	99.860794	99.9319	99.964127	100.721107	100.496483	101.955482	100.391342	99.121735	100.640472	100.123062	98.144882	99.513046	99.213737	101.075432	99.535774	100.480362	100.158333	99.755653	100.375198	100.219872	98.698135	100.407455	100.210312
330	99.90062	99.812027	98.23703	98.060791	99.999092	101.472008	99.163223	98.432159	100.914513	99.251816	99.074692	100.380371	99.156036	98.893906	100.073257	98.516258	99.45594	101.013863	98.516258	98.715851	99.721649	98.894814	100.749039	98.520752	99.61599	99.067482	98.627319	99.829124	99.064781	99.616905	99.90062	98.965424	99.906013	99.073784	100.569168	98.995987	99.249115	99.173103	99.527428	99.436172	99.259911	100.271988	100.461746	102.498482	100.271988	98.902008	100.74456	100.548515	97.875526	99.159645	98.528847	100.916306	99.352074	100.552094	99.713554	99.350288	100.366882	100.004486	98.80265	100.189697	100.369576
331	99.707397	99.758926	98.426826	98.558601	99.971321	100.924767	99.201988	98.897339	100.402344	99.150436	99.25354	100.625526	98.972549	99.241905	99.460915	98.702408	99.907753	100.694946	98.702408	99.316307	99.75312	99.270584	100.878235	98.845787	99.259766	99.024101	99.367851	100.303841	98.938072	99.288406	99.707397	98.645439	99.879463	99.224869	100.895287	99.620529	99.064407	99.517456	99.311317	99.276802	99.408554	100.046143	100.344559	102.021202	100.046143	99.499992	100.734856	100.235664	98.403557	99.087257	99.103905	100.459694	99.471741	100.350365	99.495003	99.414383	100.195351	100.14341	99.207397	100.298431	100.28138
332	99.519142	99.707161	98.611717	99.043541	99.944244	100.391617	99.2397	99.350494	99.903343	99.051682	99.42775	100.864372	98.793762	99.580879	98.864326	98.88372	100.347878	100.384201	98.88372	99.901215	99.78373	99.636604	101.004074	99.162445	98.912659	98.981812	100.089264	100.766281	98.814568	98.968391	99.519142	98.333717	99.853592	99.372017	101.212929	100.228973	98.884438	99.852875	99.100708	99.121513	99.553345	99.826065	100.230385	101.556221	99.826065	100.082542	100.72538	99.930855	98.917946	99.016731	99.664131	100.014809	99.588295	100.153816	99.282036	99.476776	100.028229	100.278725	99.601685	100.40432	100.195465
333	99.335648	99.656715	98.791908	99.516167	99.917854	99.872017	99.276474	99.792084	99.41703	98.955406	99.597549	101.09713	98.619499	99.911209	98.282913	99.060448	100.776764	100.081383	99.060448	100.471237	99.813583	99.99334	101.126709	99.471039	98.574402	98.940598	100.792313	101.216972	98.694244	98.656494	99.335648	98.029892	99.828362	99.515434	101.52253	100.821899	98.709023	100.179779	98.89547	98.970215	99.69445	99.611595	100.119102	101.103058	99.611595	100.650253	100.716148	99.633804	99.419243	98.947998	100.210083	99.581268	99.701851	99.96225	99.074486	99.537613	99.865379	100.410591	99.985931	100.507484	100.111702
